0,1,0.0190054,0.132619,0.0318992
0.01,1,0.0192926,0.134298,0.0323202
0.055,1,0.0204147,0.142109,0.0344837
0.115201,1,0.0214331,0.153145,0.0380843
0.175401,1,0.021835,0.164718,0.0424737
0.242057,1,0.021498,0.17795,0.0481552
0.300711,1,0.0204889,0.189753,0.0537321
0.359365,1,0.0188073,0.201504,0.0596901
0.418019,1,0.0164821,0.213007,0.0658564
0.476674,1,0.0136009,0.224076,0.0720477
0.535328,1,0.0103963,0.234542,0.078077
0.593982,1,0.0075807,0.244263,0.0837603
0.652636,1,0.00711525,0.253125,0.0889226
0.71129,1,0.0102389,0.261049,0.0934037
0.769945,1,0.0153623,0.267983,0.097062
0.828599,1,0.0213946,0.273905,0.0997786
0.887253,1,0.0279399,0.278812,0.101458
0.948301,1,0.0350993,0.282859,0.10203
1.00935,1,0.0424841,0.285856,0.101349
1.0704,1,0.049997,0.287845,0.0993884
1.13145,1,0.0575586,0.288876,0.0961422
1.19249,1,0.0651017,0.289006,0.0916237
1.25354,1,0.0725688,0.2883,0.0858619
1.31459,1,0.0799109,0.286831,0.0788994
1.37564,1,0.0870868,0.284681,0.0707908
1.43669,1,0.0940639,0.281939,0.0616015
1.49774,1,0.100818,0.278707,0.0514088
1.55878,1,0.107335,0.275088,0.0403027
1.61983,1,0.113612,0.271192,0.0283949
1.68088,1,0.119654,0.267128,0.0158649
1.74193,1,0.125479,0.262997,0.00407215
1.80298,1,0.131113,0.258888,0.0121382
1.86677,1,0.136833,0.254694,0.0266864
1.93056,1,0.142424,0.250657,0.0416855
1.98719,1,0.147317,0.247229,0.0551306
2.04381,1,0.152178,0.243954,0.0685729
2.10043,1,0.157034,0.240829,0.0819089
2.15706,1,0.16191,0.237846,0.0950445
2.21368,1,0.166822,0.234999,0.107894
2.2724,1,0.171963,0.232189,0.120833
2.33111,1,0.177155,0.229532,0.133302
2.38983,1,0.182386,0.227039,0.145229
2.45055,1,0.187816,0.224656,0.156925
2.51128,1,0.193229,0.222493,0.167903
2.57201,1,0.19858,0.220573,0.178099
2.63274,1,0.20381,0.218914,0.187454
2.69347,1,0.208855,0.217528,0.195912
2.7542,1,0.213642,0.216424,0.203424
2.81493,1,0.2181,0.215609,0.209953
2.87565,1,0.222157,0.215094,0.215472
2.93638,1,0.225748,0.214894,0.219974
2.99086,1,0.228527,0.215003,0.223153
3.04533,1,0.230855,0.21541,0.225544
3.09981,1,0.23271,0.21615,0.227178
3.15428,1,0.234081,0.217258,0.228102
3.20876,1,0.234964,0.218778,0.228369
3.26324,1,0.235365,0.220751,0.22804
3.3196,1,0.235288,0.223308,0.227144
3.37597,1,0.234731,0.226421,0.225754
3.43603,1,0.233645,0.23037,0.223817
3.49874,1,0.232018,0.235182,0.221388
3.56433,1,0.229842,0.240927,0.218507
3.62993,1,0.227262,0.247311,0.215379
3.69553,1,0.224364,0.254199,0.212089
3.76415,1,0.221083,0.261758,0.20854
3.83277,1,0.217626,0.269458,0.204909
3.89272,1,0.214505,0.276115,0.201662
3.95267,1,0.211306,0.282551,0.198309
4.01262,1,0.208021,0.288635,0.194799
4.07257,1,0.204624,0.29426,0.19107
4.13252,1,0.201073,0.29935,0.187058
4.19247,1,0.197318,0.303859,0.182707
4.25242,1,0.193305,0.307769,0.177974
4.31237,1,0.188978,0.311088,0.172834
4.37232,1,0.18429,0.313843,0.167279
4.43227,1,0.179193,0.316077,0.161317
4.49222,1,0.173649,0.317841,0.154981
4.55216,1,0.167624,0.319193,0.14832
4.61211,1,0.161092,0.320198,0.141406
4.67206,1,0.154036,0.320919,0.134338
4.73201,1,0.146445,0.321418,0.127245
4.79196,1,0.138322,0.321756,0.120289
4.85191,1,0.129679,0.321987,0.113671
4.91186,1,0.120542,0.322156,0.107628
4.97181,1,0.110955,0.322299,0.102431
5.03176,1,0.100982,0.322436,0.0983606
5.09171,1,0.0907153,0.322572,0.0956787
5.15612,1,0.0795186,0.322705,0.0945634
5.22456,1,0.0677266,0.322787,0.0954795
5.293,1,0.0565764,0.32273,0.0984465
5.36145,1,0.0470204,0.322425,0.103148
5.42989,1,0.040648,0.321737,0.109147
5.49834,1,0.0393384,0.320508,0.115973
5.56678,1,0.0436495,0.318577,0.123186
5.63523,1,0.0521529,0.315783,0.130405
5.69598,1,0.0617286,0.312467,0.136566
5.75673,1,0.0722766,0.308279,0.142312
5.81748,1,0.0832549,0.303157,0.147505
5.87823,1,0.0943257,0.29706,0.152036
5.93898,1,0.105264,0.289961,0.15582
5.99973,1,0.115906,0.281849,0.158799
6.06048,1,0.126128,0.272729,0.160932
6.12123,1,0.135825,0.262616,0.162205
6.18198,1,0.144913,0.251539,0.162629
6.24273,1,0.153323,0.239542,0.162242
6.30348,1,0.161004,0.226693,0.16112
6.36423,1,0.167921,0.213082,0.15937
6.42498,1,0.17406,0.198827,0.157136
6.48573,1,0.179426,0.184077,0.154592
6.54648,1,0.184047,0.169017,0.151932
6.60723,1,0.187969,0.153864,0.149361
6.66798,1,0.191253,0.13887,0.147076
6.72873,1,0.193972,0.124325,0.14525
6.78948,1,0.196207,0.110562,0.14401
6.85023,1,0.198036,0.0979592,0.143429
6.91098,1,0.199532,0.0869394,0.143513
6.97173,1,0.200756,0.0779522,0.14421
7.03248,1,0.201754,0.0714059,0.14541
7.09323,1,0.202553,0.0675407,0.146968
7.15398,1,0.203166,0.0662929,0.14872
7.21473,1,0.203592,0.0672651,0.150496
7.27548,1,0.203822,0.0698527,0.152142
7.33623,1,0.203845,0.0734289,0.153525
7.39698,1,0.203652,0.0774684,0.15454
7.45773,1,0.203246,0.081584,0.155119
7.51848,1,0.202638,0.0855144,0.155226
7.57923,1,0.201856,0.0890957,0.154857
7.63998,1,0.200941,0.0922353,0.154035
7.70073,1,0.199947,0.0948907,0.152808
7.76148,1,0.19894,0.0970543,0.151238
7.82631,1,0.197931,0.0988387,0.149271
7.89469,1,0.197032,0.100174,0.146973
7.96306,1,0.196396,0.101001,0.144553
8.03144,1,0.1961,0.101374,0.142108
8.09981,1,0.196196,0.101339,0.139715
8.16819,1,0.196706,0.100927,0.137433
8.23656,1,0.197624,0.100155,0.135298
8.30493,1,0.198918,0.0990208,0.133333
8.37331,1,0.200535,0.0975123,0.131547
8.44168,1,0.20241,0.0956093,0.129946
8.51427,1,0.204602,0.0931338,0.128453
8.58685,1,0.206912,0.0901706,0.127181
8.65044,1,0.208964,0.0871677,0.126259
8.71404,1,0.210977,0.0837921,0.125531
8.77764,1,0.212894,0.0800662,0.125019
8.84123,1,0.214656,0.0760316,0.124746
8.90483,1,0.216206,0.0717563,0.124741
8.96842,1,0.217493,0.067342,0.125036
9.03202,1,0.21847,0.0629345,0.125659
9.09561,1,0.219098,0.0587332,0.126633
9.15921,1,0.21935,0.0549969,0.12797
9.2228,1,0.21921,0.0520344,0.129664
9.28883,1,0.218647,0.0501191,0.131774
9.3595,1,0.217585,0.0496885,0.134374
9.43018,1,0.216077,0.0510359,0.137235
9.50085,1,0.214165,0.0539711,0.140243
9.56294,1,0.212192,0.0575347,0.142901
9.62502,1,0.209984,0.061668,0.145475
9.68711,1,0.207579,0.0660443,0.147871
9.74919,1,0.205014,0.0703776,0.149999
9.81128,1,0.202324,0.0744322,0.151778
9.87336,1,0.199543,0.0780232,0.153135
9.93545,1,0.196701,0.0810134,0.154011
9.99753,1,0.193823,0.0833113,0.154359
10.0596,1,0.190935,0.0848696,0.154145
10.1217,1,0.188056,0.0856857,0.15335
10.1838,1,0.185207,0.0858041,0.151973
10.2482,1,0.182308,0.0852921,0.149943
10.3151,1,0.179388,0.0842568,0.147226
10.3854,1,0.176468,0.08291,0.143776
10.4557,1,0.17376,0.0816957,0.139817
10.526,1,0.171338,0.0810902,0.135475
10.5991,1,0.16921,0.081634,0.130695
10.6722,1,0.167567,0.0838329,0.125787
10.7453,1,0.166473,0.087949,0.120861
10.8184,1,0.165953,0.0939789,0.115979
10.8798,1,0.165939,0.100347,0.111914
10.9412,1,0.166258,0.107659,0.107845
11.0025,1,0.166834,0.115644,0.103714
11.0639,1,0.167567,0.124022,0.0994454
11.1253,1,0.168346,0.132524,0.0949602
11.1867,1,0.169055,0.140912,0.0901862
11.248,1,0.169579,0.148977,0.0850704
11.3094,1,0.169815,0.156549,0.0795897
11.3708,1,0.169672,0.163498,0.073763
11.4322,1,0.169074,0.169732,0.0676645
11.4936,1,0.167963,0.175199,0.0614432
11.5549,1,0.1663,0.179876,0.0553515
11.6187,1,0.163959,0.183911,0.0495816
11.6857,1,0.16082,0.187282,0.0448319
11.7576,1,0.156686,0.189985,0.0422472
11.8327,1,0.151568,0.19191,0.043235
11.9077,1,0.145697,0.193059,0.0479435
11.9827,1,0.139173,0.193593,0.0553811
12.0578,1,0.13212,0.193689,0.0643592
12.1201,1,0.125969,0.193571,0.0722988
12.1824,1,0.119661,0.193399,0.0802387
12.2448,1,0.11331,0.193289,0.087874
12.3071,1,0.107039,0.193355,0.0949681
12.3694,1,0.100977,0.193701,0.101334
12.4318,1,0.0952492,0.194409,0.106821
12.4941,1,0.0899721,0.195534,0.11131
12.5565,1,0.0852401,0.197089,0.114707
12.6188,1,0.0811143,0.199044,0.11694
12.6811,1,0.0776128,0.201323,0.117961
12.7435,1,0.0747061,0.20381,0.11774
12.8058,1,0.0723204,0.20636,0.116269
12.8681,1,0.0703496,0.208813,0.113563
12.9345,1,0.0685714,0.211136,0.109369
13.004,1,0.06691,0.213064,0.103594
13.0761,1,0.0652669,0.214344,0.0962296
13.1483,1,0.0636216,0.214755,0.0876362
13.2244,1,0.0618687,0.214162,0.0774748
13.3005,1,0.0601663,0.212481,0.0664871
13.3766,1,0.0586614,0.209721,0.0550728
13.4527,1,0.0575566,0.20593,0.0438213
13.5288,1,0.0570788,0.201174,0.0337803
13.6049,1,0.0574406,0.195542,0.0270334
13.6679,1,0.0584913,0.190288,0.026079
13.7333,1,0.0603565,0.184354,0.0300146
13.7986,1,0.0630152,0.178016,0.0372408
13.864,1,0.066424,0.17138,0.0460067
13.9221,1,0.0700163,0.165336,0.054281
13.9801,1,0.0740585,0.159262,0.0626216
14.0382,1,0.0784599,0.153274,0.0708058
14.0963,1,0.0831212,0.147505,0.0786814
14.1543,1,0.087938,0.142096,0.0861327
14.2124,1,0.0928035,0.137193,0.0930642
14.2705,1,0.0976121,0.132938,0.0993932
14.3285,1,0.102262,0.129453,0.105047
14.3866,1,0.106658,0.126831,0.109962
14.4447,1,0.110715,0.125124,0.114087
14.5027,1,0.114361,0.124332,0.117382
14.5608,1,0.117539,0.124412,0.119823
14.6189,1,0.120208,0.125284,0.121403
14.6794,1,0.122426,0.12693,0.122147
14.74,1,0.124064,0.129215,0.122008
14.8028,1,0.125174,0.13216,0.120999
14.8656,1,0.125726,0.135622,0.119206
14.9324,1,0.125776,0.139844,0.116575
15.0017,1,0.125346,0.144818,0.113235
15.0734,1,0.124519,0.150646,0.109339
15.1452,1,0.123449,0.157226,0.105216
15.2169,1,0.122279,0.164593,0.101076
15.2777,1,0.121308,0.17146,0.0976818
15.3386,1,0.120426,0.178861,0.0944856
15.3994,1,0.119687,0.186739,0.0915419
15.4603,1,0.119121,0.195013,0.0888751
15.5211,1,0.118741,0.203584,0.0864802
15.582,1,0.118536,0.212342,0.0843263
15.6428,1,0.118473,0.221164,0.0823634
15.7037,1,0.1185,0.229927,0.0805311
15.7645,1,0.118546,0.238503,0.0787679
15.8254,1,0.118532,0.246763,0.07702
15.8863,1,0.118371,0.254579,0.075248
15.9471,1,0.117977,0.261825,0.0734307
16.008,1,0.117269,0.268377,0.0715675
16.0688,1,0.116178,0.274121,0.0696763
16.133,1,0.114552,0.279192,0.0676883
16.1973,1,0.112398,0.28315,0.0657634
16.2642,1,0.109578,0.286013,0.0638958
16.331,1,0.106178,0.287556,0.0622421
16.3979,1,0.102242,0.287778,0.0608706
16.4684,1,0.0975949,0.286627,0.0597868
16.5422,1,0.0923035,0.283981,0.0590787
16.621,1,0.0863744,0.279665,0.058788
16.703,1,0.0801595,0.273706,0.0589115
16.785,1,0.074226,0.266443,0.059323
16.867,1,0.0689179,0.258067,0.0598367
16.9391,1,0.0650263,0.249939,0.0602162
17.0111,1,0.0620375,0.241228,0.0603959
17.0832,1,0.0600378,0.23207,0.0602644
17.1553,1,0.0590033,0.22261,0.0597312
17.2274,1,0.0587968,0.213002,0.0587298
17.2994,1,0.0591936,0.203414,0.0572186
17.3715,1,0.0599237,0.194018,0.0551819
17.4436,1,0.060714,0.184983,0.052629
17.5157,1,0.0613185,0.176466,0.0495937
17.5877,1,0.0615337,0.168592,0.046133
17.6598,1,0.0612046,0.161445,0.0423266
17.7351,1,0.060162,0.154785,0.0380912
17.8104,1,0.0583341,0.148918,0.0337413
17.8858,1,0.0556939,0.143746,0.0294717
17.9611,1,0.0522539,0.139124,0.0255417
18.0364,1,0.0480614,0.134879,0.0222984
18.1118,1,0.0431939,0.130839,0.0201626
18.1871,1,0.0377558,0.126849,0.019493
18.2624,1,0.0318779,0.122783,0.0203434
18.3377,1,0.025724,0.118554,0.0223973
18.4131,1,0.0195194,0.114107,0.0251922
18.4884,1,0.0136669,0.109418,0.0283322
18.5637,1,0.0092222,0.104489,0.0315411
18.639,1,0.00866946,0.0993407,0.0346371
18.7144,1,0.0122673,0.0940112,0.0375005
18.7897,1,0.0173023,0.0885527,0.0400496
18.865,1,0.0224997,0.0830326,0.0422278
18.9403,1,0.0274381,0.0775352,0.0439964
19.0157,1,0.0319311,0.0721623,0.0453324
19.091,1,0.0358728,0.0670333,0.0462284
19.1663,1,0.0391973,0.0622821,0.0466946
19.2417,1,0.0418672,0.0580488,0.04676
19.317,1,0.04387,0.0544667,0.0464731
19.3923,1,0.045217,0.0516443,0.045901
19.4676,1,0.045942,0.0496489,0.0451255
19.5484,1,0.0460893,0.0484478,0.0441728
19.6292,1,0.0456686,0.0481882,0.0432113
19.71,1,0.0447815,0.0488141,0.0423571
19.7908,1,0.04354,0.0502776,0.0417166
19.8716,1,0.0420639,0.0525593,0.0413813
19.9524,1,0.0404791,0.0556638,0.0414247
20.0332,1,0.0389174,0.0595966,0.0419008
20.114,1,0.0375139,0.0643353,0.0428415
20.1948,1,0.0364001,0.0698087,0.0442542
20.2756,1,0.0356915,0.0758925,0.0461184
20.3563,1,0.0354728,0.0824209,0.0483844
20.4371,1,0.035786,0.0892066,0.0509737
20.5179,1,0.0366277,0.0960648,0.053783
20.5987,1,0.0379577,0.102834,0.05669
20.6795,1,0.0397147,0.109391,0.0595608
20.7603,1,0.0418301,0.115661,0.062255
20.8315,1,0.0439393,0.120931,0.0643698
20.9028,1,0.046231,0.125972,0.0661362
20.974,1,0.0486608,0.130825,0.0674516
21.0453,1,0.05118,0.135552,0.0682108
21.1068,1,0.053384,0.139593,0.0683362
21.1683,1,0.0555709,0.143659,0.0678977
21.2298,1,0.0576933,0.147814,0.0668303
21.2913,1,0.0596998,0.152119,0.0650774
21.3528,1,0.0615369,0.156635,0.0625968
21.4143,1,0.063153,0.16141,0.0593675
21.4758,1,0.0645021,0.16648,0.0553981
21.5373,1,0.0655477,0.171855,0.050737
21.5988,1,0.066267,0.177524,0.0454896
21.6603,1,0.0666545,0.183441,0.03985
21.7218,1,0.0667248,0.189539,0.0341706
21.7833,1,0.0665149,0.195724,0.0291019
21.8448,1,0.0660868,0.201896,0.0257828
21.8998,1,0.0655911,0.207321,0.0254962
21.9548,1,0.0650736,0.212596,0.0283185
22.0098,1,0.064634,0.217678,0.0338264
22.0648,1,0.0643875,0.222548,0.0412106
22.1198,1,0.0644601,0.227208,0.0498238
22.1748,1,0.06498,0.231688,0.0592495
22.2298,1,0.0660659,0.236035,0.0692188
22.2848,1,0.0678138,0.240315,0.0795419
22.3398,1,0.0702852,0.244606,0.0900697
22.3947,1,0.073501,0.248996,0.100676
22.4497,1,0.0774419,0.253574,0.111252
22.5047,1,0.0820559,0.258432,0.121701
22.5597,1,0.0872692,0.263658,0.131942
22.6147,1,0.0929977,0.269335,0.141911
22.6697,1,0.0991568,0.275541,0.151564
22.7247,1,0.105668,0.282342,0.160873
22.7797,1,0.112465,0.289793,0.169829
22.8347,1,0.119491,0.297935,0.178435
22.8897,1,0.126701,0.306793,0.186707
22.9447,1,0.134059,0.316373,0.194665
22.9997,1,0.141532,0.32666,0.202327
23.0547,1,0.149091,0.337614,0.20971
23.1096,1,0.156709,0.349165,0.216824
23.1646,1,0.164356,0.361213,0.22367
23.2196,1,0.172006,0.373625,0.230242
23.2746,1,0.179634,0.386234,0.236525
23.3296,1,0.187219,0.398847,0.242499
23.3846,1,0.194746,0.411247,0.248135
23.4396,1,0.202205,0.42321,0.2534
23.4946,1,0.209591,0.434513,0.258257
23.5496,1,0.216898,0.44495,0.262662
23.6046,1,0.22412,0.454341,0.266572
23.6596,1,0.231247,0.462536,0.26994
23.7146,1,0.23826,0.469424,0.272721
23.7696,1,0.245134,0.474924,0.274871
23.8246,1,0.251836,0.478992,0.27635
23.8816,1,0.258567,0.481681,0.277138
23.9387,1,0.265018,0.48282,0.277135
23.9958,1,0.271133,0.482448,0.276317
24.0548,1,0.277045,0.480538,0.274598
24.1138,1,0.282465,0.477168,0.271989
24.1729,1,0.287327,0.472451,0.268498
24.2347,1,0.291745,0.466219,0.263927
24.2965,1,0.295416,0.458832,0.258462
24.3604,1,0.298371,0.450179,0.251934
24.4243,1,0.300429,0.440721,0.244603
24.4924,1,0.301609,0.430023,0.236013
24.5634,1,0.301716,0.418504,0.226342
24.6344,1,0.300686,0.40692,0.216062
24.709,1,0.298386,0.394984,0.204714
24.7837,1,0.294857,0.383609,0.192928
24.8584,1,0.290109,0.373034,0.180787
24.933,1,0.284148,0.363427,0.16835
25.0077,1,0.276977,0.354864,0.155666
25.0824,1,0.268607,0.347332,0.142785
25.157,1,0.259066,0.34073,0.129769
25.2317,1,0.248413,0.33488,0.116707
25.3064,1,0.236748,0.329556,0.103723
25.381,1,0.224217,0.324503,0.0909766
25.4557,1,0.211016,0.319466,0.0786708
25.5304,1,0.197383,0.314216,0.0670455
25.605,1,0.183591,0.30856,0.0563727
25.6797,1,0.169937,0.302351,0.0469454
25.7457,1,0.15823,0.296326,0.0398841
25.8116,1,0.147067,0.289755,0.0341773
25.8776,1,0.136634,0.282626,0.0298838
25.9436,1,0.127097,0.274948,0.026891
26.0095,1,0.118592,0.26675,0.0248886
26.0755,1,0.111218,0.258076,0.0234356
26.1414,1,0.105033,0.248986,0.0220833
26.2074,1,0.100048,0.23955,0.0204665
26.2758,1,0.0961056,0.229488,0.0182411
26.3467,1,0.0932444,0.218867,0.0151691
26.421,1,0.0914359,0.207684,0.0110391
26.4996,1,0.0906406,0.195976,0.00574393
26.581,1,0.0907932,0.184198,0.00257379
26.6624,1,0.09172,0.173025,0.00948295
26.7438,1,0.0932413,0.162687,0.0179604
26.8253,1,0.0952236,0.153357,0.0270953
26.9067,1,0.0975735,0.145126,0.0365928
26.9881,1,0.100225,0.137982,0.0461922
27.0695,1,0.10313,0.131819,0.0556533
27.1509,1,0.106244,0.126462,0.0647664
27.2324,1,0.109526,0.121714,0.0733609
27.3138,1,0.112927,0.117391,0.0813088
27.3952,1,0.116395,0.113346,0.0885229
27.4766,1,0.119869,0.109477,0.0949518
27.558,1,0.123288,0.105723,0.100574
27.6395,1,0.126586,0.102064,0.105395
27.7209,1,0.129708,0.0985084,0.109444
27.8023,1,0.132608,0.0950973,0.112775
