0.06,3.2,0.924873,0.928429,0.489903,0.655545,0.214472,0
0.12,2.9,0.935533,0.930011,0.678016,0.661503,0.213914,0
0.18,2.9,0.941701,0.915979,0.731055,0.666166,0.213464,0
0.24,3.0,0.928789,0.924322,0.500317,0.658308,0.213436,0
0.3,2.9,0.913316,0.937353,0.405371,0.655289,0.216896,0
0.36,3.1,0.933215,0.940899,0.935566,0.662642,0.214488,0
0.48,3.2,0.935495,0.911393,0.344107,0.670101,0.213102,0
0.42,3.3,0.924848,0.951608,0.611798,0.659072,0.220032,0
0.54,3.2,0.953804,0.943616,0.879389,0.671625,0.213332,0
0.6,3.0,0.919176,0.936545,0.376655,0.659699,0.216872,0
0.66,3.3,0.932383,0.950929,0.65201,0.663267,0.217923,0
0.72,3.2,0.940789,0.922642,0.559017,0.672314,0.210211,0
0.78,3.4,0.920087,0.927591,0.318817,0.662476,0.213319,0
0.84,3.3,0.951515,0.956261,0.907803,0.667345,0.217327,0
0.9,3.2,0.928226,0.925946,0.717893,0.675256,0.210809,0
0.96,3.6,0.96632,0.924526,0.904957,0.678161,0.209118,0
1.02,3.5,0.968517,0.948572,0.831879,0.686355,0.207313,0
1.08,3.3,0.91439,0.906301,0.433522,0.674063,0.208514,0
1.14,3.3,0.963921,0.957158,0.89878,0.68684,0.190177,0
1.2,3.5,0.954692,0.944515,0.648993,0.687536,0.192178,0
1.32,3.3,0.931832,0.92754,0.506081,0.684265,0.19227,0
1.26,3.4,0.90634,0.944878,0.586867,0.676062,0.204799,0
1.38,3.6,0.942035,0.925836,0.489685,0.69142,0.189997,0
1.44,3.4,0.946366,0.964883,0.735458,0.683567,0.193271,0
1.5,3.4,0.920358,0.91318,0.310671,0.684271,0.192559,0
1.56,3.6,0.938564,0.956088,0.625589,0.68861,0.188708,0
1.62,3.7,0.950977,0.92578,0.563179,0.708617,0.124832,0
1.74,2.8,0.92284,0.936653,0.766457,0.764917,0.00587596,1
1.68,3.3,0.946803,0.948538,0.649458,0.700041,0.160695,1
1.8,2.9,0.932252,0.945991,0.80847,0.804987,0.00593606,1
1.86,2.5,0.929552,0.939707,0.844343,0.841574,0.00443779,1
1.92,2.7,0.920663,0.918187,0.821234,0.832814,0.00465401,1
2.04,2.5,0.942779,0.918013,0.868377,0.871892,0.00352161,1
1.98,2.6,0.917562,0.942693,0.813753,0.807981,0.00475476,1
2.1,2.2,0.918489,0.935652,0.848434,0.849869,0.00574612,1
2.22,2.3,0.931376,0.924483,0.856408,0.861969,0.00487546,1
2.28,2.3,0.927644,0.933459,0.826469,0.820712,0.00650285,1
2.16,2.7,0.908465,0.946961,0.829197,0.839382,0.00475272,1
2.34,2.6,0.925215,0.926761,0.862757,0.865414,0.00513697,1
2.46,2.5,0.935435,0.936439,0.876372,0.876772,0.00317103,1
2.52,2.2,0.928069,0.941205,0.874392,0.872573,0.00434712,1
2.4,2.6,0.938582,0.929857,0.868415,0.872284,0.00431021,1
2.58,2.1,0.917398,0.957194,0.873814,0.876105,0.00322532,1
2.7,2.0,0.923916,0.942402,0.881417,0.883339,0.00280593,1
2.64,2.2,0.917166,0.949964,0.857672,0.860515,0.00332631,1
2.76,2.0,0.905215,0.936977,0.854943,0.868839,0.0042319,1
2.82,2.1,0.915876,0.949294,0.875781,0.877544,0.00318127,1
2.94,1.8,0.921025,0.930432,0.884299,0.884556,0.00420681,1
2.88,2.1,0.920994,0.927232,0.874253,0.875145,0.00502359,1
3.0,2.3,0.953868,0.929627,0.90435,0.905981,0.00345235,1
