0,0.051966,0.0797756,0.0347161
0.01,0.051632,0.0800919,0.0343885
0.055,0.0498655,0.0814178,0.0328129
0.1,0.0476739,0.0825909,0.0311301
0.146726,0.0449711,0.0836605,0.0293795
0.193452,0.0418753,0.0845977,0.0277724
0.240178,0.038452,0.0854268,0.0264886
0.286904,0.0347982,0.0861765,0.0257244
0.33363,0.03106,0.0868791,0.0256586
0.380356,0.0274648,0.0875696,0.0264049
0.427082,0.0243711,0.0882843,0.027979
0.473808,0.0223047,0.0890593,0.0303042
0.520534,0.0218665,0.0899285,0.0332473
0.56726,0.0234087,0.0909218,0.0366579
0.613986,0.0267847,0.0920631,0.0403912
0.660712,0.0315391,0.0933683,0.0443173
0.707438,0.0372177,0.0948442,0.0483211
0.754164,0.0434805,0.0964871,0.0523012
0.80089,0.0500873,0.0982832,0.0561673
0.847615,0.0568627,0.100209,0.0598392
0.894341,0.0636706,0.102233,0.0632464
0.942767,0.0706415,0.104394,0.0664333
0.991193,0.0774228,0.106573,0.0692131
1.03962,0.083924,0.108721,0.0715388
1.08805,0.0900665,0.110789,0.0733737
1.13647,0.0957822,0.112732,0.0746907
1.1849,0.101012,0.114508,0.0754715
1.23332,0.105707,0.116082,0.0757061
1.28175,0.109825,0.117424,0.0753924
1.33018,0.113334,0.118515,0.0745359
1.37215,0.115864,0.119245,0.0733639
1.41412,0.11791,0.119772,0.0718063
1.45609,0.119465,0.120096,0.0698799
1.49806,0.120533,0.120224,0.067606
1.54191,0.121135,0.120157,0.0648873
1.58792,0.121219,0.119884,0.0616946
1.63738,0.120709,0.119387,0.057928
1.68685,0.119615,0.118716,0.0538846
1.73631,0.11798,0.117914,0.0496514
1.78755,0.115771,0.117001,0.045185
1.83878,0.113095,0.116066,0.0407969
1.89002,0.110015,0.115178,0.0367115
1.93403,0.1071,0.114509,0.0336745
1.97805,0.103984,0.113979,0.0313325
2.02207,0.100719,0.113636,0.0299523
2.06609,0.0973623,0.113528,0.0297526
2.11011,0.0939762,0.1137,0.0308165
2.15413,0.0906304,0.114192,0.0330578
2.19815,0.0874009,0.115037,0.0362728
2.24216,0.0843691,0.116258,0.0402259
2.28618,0.0816197,0.117872,0.0447071
2.3302,0.0792378,0.119885,0.0495522
2.37422,0.0773039,0.122291,0.0546408
2.42071,0.0758268,0.125248,0.0601863
2.4672,0.0749958,0.128609,0.0658425
2.51368,0.0748541,0.132346,0.0715671
2.56017,0.0754182,0.136426,0.0773354
2.60666,0.0766778,0.140813,0.0831337
2.65315,0.0785989,0.145473,0.088955
2.69964,0.0811287,0.150369,0.094794
2.74613,0.0842012,0.155465,0.100644
2.79262,0.0877421,0.160727,0.106495
2.8391,0.0916738,0.16612,0.112332
2.88559,0.0959184,0.171611,0.118135
2.93208,0.100401,0.177165,0.123882
2.97857,0.105052,0.18275,0.129549
3.02506,0.109806,0.188334,0.135112
3.07155,0.114608,0.193885,0.140548
3.12206,0.119822,0.199848,0.146287
3.17258,0.124981,0.205705,0.151833
3.22309,0.130042,0.21143,0.15717
3.27361,0.13497,0.216999,0.162288
3.31697,0.139078,0.221645,0.166506
3.36034,0.143061,0.226161,0.170562
3.40371,0.146913,0.230545,0.174462
3.44707,0.150635,0.234801,0.178215
3.49044,0.154229,0.238934,0.181833
3.53381,0.157705,0.242953,0.18533
3.57894,0.16121,0.247027,0.188858
3.62408,0.164617,0.251003,0.192293
3.66921,0.167948,0.254892,0.195656
3.71435,0.171229,0.258706,0.19897
3.75948,0.174488,0.262451,0.202258
3.80461,0.177756,0.266132,0.20554
3.84975,0.18107,0.269746,0.208839
3.89488,0.184466,0.273286,0.212176
3.94002,0.187985,0.276741,0.215573
3.98515,0.191671,0.280092,0.219049
4.03029,0.195567,0.283319,0.222625
4.07542,0.199719,0.286397,0.226318
4.12215,0.204336,0.289398,0.230284
4.17058,0.209509,0.292277,0.234562
4.22182,0.215462,0.295034,0.23929
4.27306,0.221943,0.297459,0.244229
4.32721,0.229381,0.299633,0.249668
4.38136,0.237413,0.301388,0.255308
4.43551,0.245989,0.302719,0.261104
4.48396,0.254061,0.30356,0.266377
4.53242,0.262427,0.30409,0.271678
4.58088,0.271001,0.304338,0.276958
4.62933,0.27969,0.304346,0.28217
4.67779,0.288408,0.304159,0.287273
4.72625,0.297076,0.303831,0.292238
4.77714,0.306057,0.303394,0.297283
4.82802,0.314862,0.302924,0.30215
4.87891,0.323463,0.302478,0.306846
4.9245,0.330986,0.302142,0.310919
4.97008,0.338345,0.301896,0.314885
5.01567,0.345554,0.301763,0.31876
5.06125,0.352632,0.301757,0.32256
5.10684,0.359597,0.301883,0.326298
5.15242,0.366466,0.302139,0.329978
5.198,0.373246,0.302517,0.333601
5.24359,0.379939,0.303,0.337156
5.28917,0.386537,0.303568,0.340631
5.33476,0.393027,0.304197,0.344007
5.38034,0.399392,0.304863,0.347265
5.41973,0.404777,0.305449,0.349972
5.45912,0.410044,0.306029,0.352568
5.49851,0.415182,0.30659,0.355046
5.5379,0.420185,0.307121,0.357401
5.57729,0.425045,0.307612,0.35963
5.61668,0.429759,0.308056,0.361731
5.65606,0.434322,0.308444,0.363704
5.69545,0.438731,0.308772,0.36555
5.73484,0.442981,0.309032,0.367268
5.77423,0.44707,0.309218,0.36886
5.81362,0.450991,0.309324,0.370325
5.849,0.454367,0.309346,0.371535
5.88438,0.457597,0.309295,0.372644
5.91977,0.460677,0.309171,0.373655
5.95515,0.463599,0.308973,0.374569
5.99053,0.466354,0.308706,0.375388
6.02591,0.468932,0.308377,0.376114
6.0613,0.47132,0.307999,0.376748
6.09668,0.473505,0.307589,0.377291
6.13206,0.475471,0.307169,0.377744
6.16744,0.477199,0.306765,0.378105
6.20283,0.478672,0.306409,0.378373
6.23821,0.479871,0.306132,0.378545
6.27359,0.48078,0.305971,0.378617
6.31088,0.481408,0.305963,0.378581
6.34959,0.481688,0.306174,0.378417
6.39057,0.481559,0.306681,0.378093
6.43155,0.480986,0.307519,0.377607
6.47253,0.479967,0.308714,0.376947
6.51351,0.478505,0.31028,0.376101
6.5563,0.47651,0.31231,0.375004
6.5991,0.474044,0.31473,0.373672
6.64189,0.471118,0.317509,0.372086
6.68469,0.46774,0.320605,0.37023
6.72748,0.46392,0.323966,0.368086
6.77028,0.459668,0.327533,0.365639
6.80734,0.455643,0.330739,0.363267
6.8444,0.451308,0.334009,0.360655
6.88147,0.44667,0.3373,0.357802
6.91853,0.441739,0.340573,0.354711
6.95559,0.436527,0.343789,0.351391
6.99266,0.431051,0.346915,0.347857
7.02972,0.425333,0.349922,0.34413
7.06679,0.419401,0.352785,0.340239
7.10523,0.413062,0.355582,0.336069
7.14367,0.406582,0.35819,0.331813
7.18424,0.399659,0.360724,0.327292
7.22625,0.392492,0.363108,0.322661
7.2701,0.385132,0.365335,0.317985
7.31395,0.378041,0.367301,0.313585
7.3578,0.371381,0.369015,0.309576
7.40327,0.36511,0.37054,0.305951
7.44874,0.359667,0.371821,0.30297
7.49611,0.355055,0.372911,0.300631
7.54347,0.351665,0.373761,0.299112
7.59084,0.349576,0.374377,0.298401
7.64092,0.348791,0.374772,0.298455
7.69101,0.349389,0.374894,0.299212
7.7411,0.351211,0.374726,0.300503
7.79119,0.35404,0.374244,0.302146
7.83541,0.357178,0.373536,0.30374
7.87963,0.360737,0.372544,0.305347
7.92385,0.364552,0.371251,0.306863
7.96806,0.368471,0.369641,0.308204
8.01228,0.372366,0.367707,0.309303
8.0565,0.376125,0.365442,0.310111
8.10072,0.379664,0.362849,0.310596
8.14494,0.382913,0.359934,0.31074
8.1909,0.385932,0.356576,0.31052
8.24066,0.388745,0.352587,0.309863
8.29274,0.391147,0.348046,0.308718
8.34482,0.392976,0.343168,0.307126
8.39691,0.39422,0.337989,0.30511
8.44899,0.394879,0.332546,0.302692
8.50107,0.394955,0.326872,0.299896
8.55316,0.394455,0.320999,0.296745
8.60524,0.393394,0.314958,0.293265
8.65732,0.391788,0.308777,0.289481
8.70941,0.389661,0.302485,0.28542
8.76149,0.387043,0.296111,0.281112
8.81357,0.38397,0.289681,0.276586
8.86565,0.380479,0.283224,0.271869
8.91213,0.377045,0.277456,0.26752
8.95861,0.37334,0.271698,0.263052
9.00509,0.36939,0.265956,0.258475
9.05156,0.365215,0.260233,0.253794
9.09804,0.360832,0.254524,0.24901
9.14452,0.356251,0.24882,0.244119
9.19099,0.351477,0.243104,0.239115
9.23747,0.346511,0.237355,0.233995
9.28395,0.341351,0.231552,0.228753
9.33042,0.335997,0.225669,0.22339
9.3769,0.33045,0.219682,0.217909
9.42338,0.324712,0.21357,0.212321
9.46985,0.318794,0.20731,0.206642
9.51633,0.312711,0.200884,0.200895
9.56281,0.306482,0.194279,0.195106
9.60929,0.300132,0.187481,0.189309
9.65576,0.293688,0.180482,0.183539
9.70224,0.287182,0.173277,0.177834
9.74872,0.280645,0.165865,0.172235
9.79519,0.274113,0.158248,0.166784
9.84167,0.267619,0.150432,0.161524
9.88815,0.261199,0.14243,0.156498
9.93462,0.254891,0.134256,0.15175
9.9811,0.248732,0.125932,0.147322
10.0276,0.242762,0.117479,0.143253
10.0741,0.23702,0.108927,0.139581
10.1205,0.231546,0.100306,0.136339
10.167,0.226382,0.0916514,0.133554
10.2135,0.221564,0.0829995,0.131247
10.26,0.217129,0.0743918,0.129433
10.3064,0.213108,0.0658742,0.128116
10.3549,0.209389,0.0571531,0.127271
10.4033,0.206175,0.0486632,0.126953
10.4517,0.203483,0.0405096,0.12714
10.5019,0.201256,0.0325976,0.127839
10.552,0.199605,0.0255671,0.129016
10.6022,0.198527,0.020102,0.130631
10.6549,0.198004,0.0173482,0.132753
10.7075,0.198088,0.0186183,0.135263
10.7624,0.198793,0.0231695,0.138238
10.8173,0.200095,0.0292646,0.141525
10.8761,0.202094,0.0363918,0.145323
10.9349,0.204643,0.0436413,0.149332
10.9936,0.207643,0.0507917,0.153462
11.0557,0.211169,0.058119,0.157848
11.1178,0.214905,0.0651405,0.162128
11.1841,0.218925,0.0722327,0.166428
11.2503,0.222771,0.0788515,0.170295
11.3166,0.22625,0.0849399,0.173593
11.3828,0.229199,0.0904483,0.176215
11.4491,0.231494,0.0953386,0.178094
11.5041,0.232846,0.098911,0.179071
11.5617,0.233696,0.102172,0.179528
11.6192,0.233961,0.104944,0.179428
11.6768,0.233651,0.10723,0.178802
11.7344,0.23279,0.109037,0.177689
11.792,0.231413,0.11037,0.176138
11.8495,0.22956,0.111234,0.1742
11.9071,0.22728,0.111633,0.171933
11.9588,0.224909,0.1116,0.169669
12.0105,0.222276,0.111207,0.167242
12.0622,0.219424,0.110473,0.164708
12.1139,0.216401,0.109425,0.162132
12.1656,0.213262,0.108109,0.159581
12.2173,0.210063,0.106589,0.15713
12.2628,0.20725,0.105153,0.155118
12.3083,0.204485,0.103704,0.153298
12.3538,0.201817,0.102336,0.151725
12.3993,0.199294,0.101161,0.15045
12.4448,0.196964,0.100307,0.149523
12.4902,0.194876,0.0999103,0.148989
12.5357,0.193074,0.100115,0.148887
12.5812,0.191601,0.101057,0.149251
12.6267,0.190496,0.102858,0.150106
12.6722,0.189796,0.105609,0.151471
12.7177,0.18953,0.109366,0.153357
12.7632,0.189725,0.114147,0.155765
12.8086,0.190399,0.119931,0.15869
12.8541,0.191564,0.126663,0.162119
12.9015,0.193303,0.134591,0.166194
12.9488,0.195575,0.143355,0.170753
12.9961,0.198364,0.152837,0.175751
13.0455,0.201803,0.163373,0.181383
13.0949,0.205745,0.174423,0.187372
13.1444,0.210146,0.185854,0.193652
13.1938,0.214961,0.197542,0.200155
13.2432,0.220142,0.209375,0.206819
13.2926,0.225643,0.22125,0.213585
13.342,0.231418,0.23308,0.2204
13.3914,0.237422,0.244785,0.227219
13.4409,0.243609,0.256301,0.233997
13.4903,0.249934,0.26757,0.240695
13.5397,0.256348,0.278547,0.247276
13.5891,0.2628,0.289197,0.253705
13.6385,0.269238,0.29949,0.259949
13.688,0.275613,0.309409,0.265979
13.7374,0.281874,0.318942,0.271771
13.7868,0.287983,0.328086,0.27731
13.8362,0.293909,0.336844,0.282588
13.8856,0.299636,0.34522,0.287608
13.9299,0.304598,0.352404,0.291895
13.9741,0.309418,0.359295,0.296005
14.0184,0.314126,0.365896,0.29996
14.0626,0.318761,0.372207,0.303789
14.1069,0.323374,0.378225,0.307521
14.1511,0.328019,0.383941,0.311185
14.1976,0.332994,0.389608,0.314985
14.2457,0.338299,0.395081,0.318882
14.296,0.344072,0.400356,0.322925
14.3491,0.350447,0.405396,0.327146
14.4022,0.357092,0.409848,0.331273
14.4553,0.363948,0.413679,0.335242
14.5084,0.37092,0.416864,0.338978
14.5615,0.377889,0.419393,0.342406
14.6147,0.384722,0.421271,0.345458
14.6586,0.39018,0.422348,0.347659
14.7043,0.395585,0.423031,0.349606
14.75,0.400644,0.4233,0.351188
14.7956,0.405289,0.423189,0.352388
